Row   1: D | Which of the following forms of mercury is most
Row  35: A | Which of the following will serve to maximally increase absorption of an inhaled gas with a low
Row  37: B | Which of the following statements is NOT TRUE (False) about statins?
Row  38: C | Chronic oral administration of corticosteroids can result in which of the following adverse effects?
Row  39: C | Which of the following is a human toxicant produced by marine algae?
Row  40: A | Antineoplastic alkylating agents MOST commonly cause toxicity to which of the following?
Row  41: C | Which of the following metals are causally linked to human cancer?
Row  42: D | Which of the following is TRUE regarding retinoblastoma?
Row  43: C | Which of the following is characteristic of silicosis?
Row  44: A | Which of the following is TRUE regarding carbon disulfide neurotoxicity?
Row  45: A | Pulmonary edema in toxic lung injury typically represents
Row  46: C | What effect is associated with gestational exposure to an anti-androgen in rats?
Row  47: D | When evaluating results of reproductive toxicology studies, all of the following are valid
Row  48: A | Retinoic acid can cause a variety of malformations in animals depending on the timing
Row  49: B | Which of the following describes a proximate carcinogen?
Row  50: D | Which of the following is NOT TRUE for initiation of carcinogenesis?
Row  51: B | A fiber with a diameter of 1 micron and a length of 200 microns will be deposited in the bronchial t
Row  52: A | Which of the following agents enters hepatocytes via carrier-mediated membrane transport?
Row  55: D | Which of the following is TRUE regarding micronuclei?
Row  56: C | All of the following neurotoxicants act primarily on the axon EXCEPT
Row  57: E | Screening batteries to further evaluate neurobehavioral toxicity currently include
Row  58: C | Which of the following is associated with drug induced pulmonary phospholipidosis?
Row  59: C | Which of the following neurotoxic agents is best known for causing degeneration of dorsal root
Row  60: B | Which of the following is associated with spina bifida in offspring of epileptic women?
Row  61: B | Over-production of tumor necrosis factor alpha can produce
Row  62: C | Which of the following immunopathies is NOT mediated by antibodies?
Row  63: E | Which of the following assays would be LEAST useful in understanding the immunotoxic potential of a 
Row  64: C | Which of the following represents the most sensitive indicator of a toxicant-induced decrease in pro
Row  65: B | Which of the following is the primary target for chloroform-induced nephrotoxicity?
Row  66: C | Which of the following is TRUE concerning skin?
Row  67: D | Given equal exposure conditions of two agents to healthy skin, percutaneous permeability
Row  68: B | Which of the following is used as a serum biomarker to assess drug-induced cardiac toxicity?
Row  70: B | Which of the following substances cause megaloblastic anemia due to folate deficiency?
Row  71: E | Examples of Phase 1 metabolizing reactions in the liver include all of the following EXCEPT
Row  72: A | Lidocaine, methylene blue and nitrates are associated with which of the following?
Row  73: A | Which of the following is NOT TRUE of nongenotoxic carcinogens?
Row  74: B | Which of the following pairs of tests are considered the MOST appropriate for initial assessment of 
Row  75: B | A change in the dependence on which of the following nutrients is used as an indicator of reverse mu
Row  76: C | Which of the following is NOT TRUE regarding chronic analgesic nephropathy?
Row  78: A | For which of the following compound groups is fatty liver the primary toxic effect?
Row  80: B | Which of the following serum enzymes is the MOST specific indicator of biliary tract injury or chole
Row  81: A | Which of the following is the major site of accumulation for polybrominated biphenyls?
Row  82: B | Elimination following oral administration is a function of which of the following?
Row  84: D | Which of the following causes toxicity due to inhibition of vitamin K reductase and vitamin K
Row  85: D | Which of the following BEST describes P-glycoprotein?
Row  86: B | About 2% of Caucasians are deficient in the normal form of serum carboxylesterase. This is an
Row  87: B | Phase II biotransformation of xenobiotics includes all of the following conjugations EXCEPT
Row  88: B | Which of the following statements is NOT CORRECT (FALSE) regarding apoptosis?
Row  89: A | Which of the following can be used to calculate the half-life of a drug in the blood?
Row  90: D | Factors leading to the increased use of physiologically-based models over classical
Row  91: E | Which of the following pairs is MOST relevant for human risk evaluation?
Row  92: C | Which of the following is NOT a characteristic of saturation toxicokinetics?
Row  94: A | Which of the following is CORRECT regarding elimination of toxicants?
Row  95: E | All of the following are correctly paired as xenobiotic and toxic metabolite EXCEPT
Row  96: B | Which of the following CYP450 forms are responsible for the bioactivation of acetaminophen (paraceta
Row  97: D | For which of the following chemicals is the toxicity enhanced by conjugation with glutathione and th
Row  98: A | A prominent application of structure-activity relationships for assessment of risks associated with 
Row 100: A | Which of the following ligand-activated transcription factors is MOST likely acted on by zearalenone
Row 101: B | Which of the following is TRUE regarding the regulatory role of the U.S. Occupational Safety and Hea
Row 102: B | In addition to case-control studies and crosssection studies, a major type of epidemiology study
Row 103: E | All of the following chemicals are correctly paired with the occupational disease that they may caus
Row 104: C | Which one of the following statements is NOT TRUE (FALSE) regarding Material Safety Data Sheets
Row 106: C | Which of the following is TRUE regarding Good Laboratory Practice Regulations?
Row 107: B | According to the ICH Harmonised Tripartite Guidelines (M3), what is the minimum length of a
Row 108: B | The annual incidence rate of lung cancer in the general population is 5 per 1,000. Among the 100
Row 109: B | Which of the following is NOT CORRECT regarding epidemiological studies?
Row 110: C | In which of the following groups have the chemicals all been substantiated with sufficient epidemiol
Row 112: A | Which of the following is the MOST accurate description of the apparent volume of distribution (Vd) 
Row 113: B | Conjugation of halogenated alkenes such as tetrafluoroethylene with glutathione ultimately leads to 
Row 115: C | As a first order process, after how many half-lives will 99% of a chemical be eliminated?
Row 116: C | Deaths due to occupational lung diseases led to enactment of which of the following pieces of U.S. l
Row 117: C | Threshold Limit Values (TLVs) are used in which of the following?
Row 118: D | A male is diagnosed as having an acute myocardial infarction after he has presented to the emergency
Row 119: D | Which of the following is the MOST important oxidant in photochemical air pollution near the earth's
Row 120: C | Which of the following about Threshold Limit Values (TLVs) is TRUE?
Row 121: B | Which of the following is produced by selenium deficiency in lambs and calves?
Row 122: B | The most important mechanism for accumulation of methylmercury in the mammalian central nervous syst
Row 123: B | Which of the following is NOT CORRECT regarding chelation therapy'?
Row 124: A | Which of the following produces the toxicity of ingested zinc phosphide?
Row 125: A | Which of the following reactions is responsible for the neurotoxic effects induced by synthetic pyre
Row 126: E | Which of the following is NOT CORRECT regarding chronic lead poisoning?
Row 127: D | To be considered GRAS (generally recognized as safe), a substance should be
Row 129: D | Which of the following is characteristic of methyl mercury toxicity?
Row 130: C | Possible mechanisms of ethanol carcinogenicity include all of the following EXCEPT- False
Row 131: D | Which of the following is NOT CORRECT/FALSE regarding ethylene glycol?
Row 132: B | The primary toxic effects of naphthalene are on which of the following organs or systems?
Row 133: E | Which of the following ocular conditions has been associated with accidental exposure to naphthalene
Row 134: C | Which of the following is NOT CORRECT regarding exposure to chlorinated cyclodiene pesticides?
Row 135: C | Which of the following pesticide classes has been linked to dermal paresthesia (characterized by bur
Row 136: E | Which of the following is CORRECT regarding carbamate insecticides in comparison with organophosphat
Row 137: A | Which of the following is NOT a chlorinated hydrocarbon insecticide?
Row 138: A | Which of the following is the primary reason for using oximes (e.g., 2-PAM) to treat anticholinester
Row 140: B | The cellular mechanism of hydrogen sulfide toxicity is
Row 141: D | Sprouts and young leaves of pokeweed (Phytolucca umericana) are safer to eat than mature leaves beca
Row 142: D | Children exposed to radioactive iodine releases from Chernobyl have an increased risk of getting thy
Row 143: C | Which of the following is NOT CORRECT regarding ozone?
Row 144: D | Which of the following is NOT CORRECT for inhaled formaldehyde'?
Row 145: D | Which of the following is CORRECT about inhalation toxicity testing?
Row 146: A | Which of the following is characteristic of scombroid fish poisoning?
Row 147: B | Which of the following is NOT a toxin found in seafood?
Row 148: B | Urushiol is the chemical responsible for allergic reactions to which of the following plants?
Row 149: C | Which of the following types of radiation has the highest linear energy transfer (LET), local dose, 
Row 150: C | Which of the following is characteristic of radon exposure in humans?
Row 151: B | Which of the following is CORRECT regarding ochratoxin A?
Row 152: A | Which of the following regarding methylene chloride is TRUE? 
Row 154: E | Which of the following is NOT TRUE regarding ciguatoxin? Ichthyosarcotoxin
Row 155: D | Which of the following found in red wine can cause severe headache and hypertension without excessiv
Row 157: B | The most important factor in determining the amount of inhaled gas or vapor which reaches the lower 
Row 158: D | Which of the following is CORRECT regarding carbon monoxide (CO)?
Row 159: C | Azole drugs have fungistatic activity by blocking the synthesis of which of the following critical c
Row 160: B | Concerns about the cardiac safety of cyclooxygenase-2 inhibitors are believed to be related to
Row 161: B | Allelic loss of which of the following may result in early age onset of cancers'?
Row 162: B | Which of the following statements is CORRECT regarding transgenic mice?
Row 163: C | All of the following are correct regarding promoting agents in the development of
Row 164: E | Chromosome aberrations are routinely scored in cytogenetic analysis in all of the following EXCEPT
Row 165: C | Which of the following is NOT CORRECT regarding the ultraviolet (UV) portion of the
Row 166: E | The experimental unit in a Segment II teratology study for the purpose of statistical analysis is
Row 167: A | Which of the following pair of assays would detect point mutations?
Row 168: C | The gestation index is the percentage of
Row 169: D | All of the following are tumor suppressor genes EXCEPT
Row 170: C | Which of the following is NOT a mammalian cytogenetic assay?
Row 171: D | Anogenital distance
Row 172: D | In a rat reproduction study, treatment-related findings were limited to significantly reduced body w
Row 173: E | Which of the following is NOT characteristic of diethylstilbestrol (DES) in humans?
Row 174: A | Juvenile toxicology studies for pharmaceutical and biotechnology products
Row 175: E | Which of the following respiratory regions is the place where most inhaled particles with a mean aer
Row 176: C | Which of the following statements is NOT CORRECT concerning respiratory cancer in humans?
Row 177: C | Which of the following characterizes the pathogenesis of neoplasia that includes initiation,
Row 178: B | Which of the following is the primary factor determining the region of the respiratory tract where a
Row 179: B | Which of the following does NOT characterize neuropathies?
Row 180: C | For which of the following compounds are microtubules the primary site of injury?
Row 181: C | Which of the following is characteristic of xenobiotic-induced Gel and Coombs Type I
Row 182: D | Type III hypersensitivity reactions are mediated by
Row 183: D | Which of the following effects in repeat dose toxicity studies does NOT indicate immunosuppression?
Row 184: E | A gender-related susceptibility to nephrotoxicity is NOT characteristic of which of the following
Row 185: D | Reaction to which of the following represents a true food allergy?
Row 186: D | Which of the following is CORRECT regarding allergic contact dermatitis?
Row 187: D | Phototoxic reactions in the skin are associated with each of the following chemicals EXCEPT
Row 188: D | Which of the following is CORRECT regarding intraocular melanin?
Row 189: B | The following reasons support the wide acceptance of using the rabbit in human ocular irritation tes
Row 190: D | Which of the following ocular structures is the target of chronic, high-dose tamoxifen therapy?
Row 191: D | Which of the following does NOT enhance acetaminophen- (paracetamol-) induced hepatic toxicity?
Row 192: C | Which of the following is associated with hepatic steatosis?
Row 193: D | Which of the following bacterial strains can detect mutagens that induce frame-shift mutations?
Row 194: B | Which of the following organs/systems has a high incidence of spontaneous tumor development in B6C3F
Row 195: D | Which of the following is the most common spontaneous neoplasm in male Fischer (F344) rats in
Row 196: C | Which of the following urinary biomarkers is NOT correctly matched with the nephron segment where it
Row 199: A | For which of the following agents is hepatotoxicity NOT mediated by a P450-generated metabolite?
Row 200: C | Which of the following is CORRECT regarding the contribution of Kupffer cells to hepatic toxicity?
Row 201: E | Which of the following is CORRECT regarding dose-response?
Row 202: D | Which of the following is CORRECT regarding compounds defined as persistent, bioaccumulative, and to
Row 203: D | Information from short-term studies useful in the design of subchronic toxicity studies does NOT inc
Row 204: B | Which of the following is NOT CORRECT regarding acute toxicity (LD50) testing?
Row 205: C | Which of the following is NOT important in the endocrine control of calcium concentration in extrace
Row 206: E | Which of the following results in the most significant increase in the absorption of a gas in the lu
Row 207: B | Radon exposure produces lung tumors in humans, involving a decay process. Which of the following is 
Row 208: B | The adrenal cortex is predisposed to toxic effects of many hydrophobic xenobiotic chemicals due to
Row 209: A | Which of the following would be a reasonable way to determine the potency of a drug or toxic agent'?
Row 210: D | Apoptosis is characterized by which of the following features?
Row 211: E | The mechanism of flushing syndrome observed after alcohol consumption in a high percentage of the Pa
Row 212: B | A recognized mechanism of toxicity for endotoxins is
Row 213: A | Occupational exposure to nerve agents can cause all of the following EXCEPT
Row 215: B | Which of the following statements is NOT consistent with the advantages of the Benchmark
Row 216: E | In formulating a dose-response assessment, the benchmark dose approach offers which advantage over t
Row 217: E | Which of the following is CORRECT regarding Good Iaboratory Practices?
Row 218: E | Which of the following cytochrome P450 (CYP) is the MOST abundant in the normal human liver?
Row 219: C | Which of the following does NOT apply to the activity of risk assessment?
Row 220: C | Which of the following studies would NOT be performed to evaluate the potential pharmacological effe
Row 221: C | Which of the following product categories falls under the regulatory authority of the U.S. Food and 
Row 222: B | Which of the following techniques could be used to detect drug-induced alterations in the level of a
Row 223: A | A person registers a blood alcohol level of 0.3 percent (300 mg percent), although he/she can walk a
Row 224: A | The most useful agent/procedure for the prevention of absorption of ingested drugs and chemicals is
Row 225: A | Which of the following dietary herbal supplements has NOT been associated with severe hepatotoxicity
Row 226: C | Once released, a toxicant can enter the environment (air, water, soil, living organisms) through one
Row 227: D | Which for the following statements is CORRECT regarding the coefficient of variation (CV)?
Row 228: C | Which of the following represents a measurable biochemical, physiological, or other alteration withi
Row 229: D | Which of the following is a major source of exposure to lead for adults in the general population?
Row 230: C | A 45-year old man is brought to the emergency room early one morning by his wife with symptoms of he
Row 232: B | An arc welder is working in a small enclosed area and welding galvanized metal all day. She goes hom
Row 233: C | Reaction of the ultimate toxicant with endogenous molecules may do all of the following EXCEPT
Row 234: B | The following doses of a test drug were given by daily oral administration for 28 days to rats: 10, 
Row 235: E | Evidence that fetal malformations induced by retinoic acid are related to changes in hox gene
Row 236: B | The ability of metallothionein to bind metallic cations is due to its high content of which of the f
Row 237: B | Which of the following is NOT CORRECT regarding short-term bioassays for genotoxicity?
Row 238: C | Which of the following describes the use of biological monitoring of exposure for assessing the heal
Row 239: C | Which of the following is NOT a valid pairing of a biological effect and a causative agent?
Row 240: E | Which of the following statements is NOT CORRECT concerning methyl tertiary-butyl ether
Row 241: D | Two contractors hired by a health club to refinish the racquetball court floors were using a varnish
Row 242: E | Which of the following is NOT associated with chronic cadmium toxicity?
Row 243: C | "Colloidal silver generators" may be purchased to produce silver particles in water. Some people dri
Row 244: C | Acrodynia (pink disease), characterized by erythema of the extremities, chest and face with photopho
Row 245: B | Which of the following is CORRECT about the industrial solvents 1,1,2-trichloroetliylene (TCE) and t
Row 246: C | Which of the following is CORRECT regarding palytoxin?
Row 247: E | Which of the following is NOT CORRECT regarding a chlorinated hydrocarbon undergoing
Row 248: C | Which of tile following statements about arsenic is NOT CORRECT?
Row 249: A | The mechanism of chronic pulmonary toxicity of beryllium after repeated inhalation exposure may be
Row 251: C | Epidemiology studies support an association between cardiovascular disease and exposure to
Row 252: E | Metabolism by glutathione S-transferase (GST) is an important determinant in carcinogenesis
Row 253: D | Which of the following pesticides is associated with cutaneous paresthesia in humans?
Row 254: C | Which of the following is CORRECT concerning the bipyridyl insecticide paraquat?
Row 255: D | Which of the following biochemical phenomena is characteristic of the periodic tremoring effects
Row 256: E | Which of the following statements is CORRECT concerning both organophosphate (OP) and
Row 257: C | The widespread use of lithium carbonate in treatment of manic states occasionally results in develop
Row 258: E | Pyrethroid esters exert their toxic effects primarily by which of the following mechanisms of action
Row 259: B | A patient was admitted to the emergency room with complaints consistent with muscarinic and nicotini
Row 260: A | Which of the following is NOT CORRECT regarding methyl isocyanate (MIC)?
Row 261: C | Interception is the primary mechanism for pulmonary deposition of fibers having a large aspect
Row 262: B | The radioactivity of the air in human dwellings should be monitored in certain geographical areas
Row 263: A | Which of tlie following statements about nicotine and/or tobacco smoke is NOT CORRECT?
Row 264: A | Which of the following is a reducing-type air pollutant?
Row 265: C | Particles between 1 and 100 nrn in at least two dimensions are often referred to as nanoparticles. W
Row 266: B | Radon's primary respiratory effect in humans associated with its decay to the solid phase daughter p
Row 268: B | Which ofthe follo\ving is the likely mechanism of ricin toxicity?
Row 269: D | Which of the following related to the toxic effects of plants is NOT CORRECT?
Row 270: B | Hypesicin causes photosensitizatiori in livestock
Row 271: A | HMG CoA reductase inhibitors (statins) are effective in redocing LDL levels. The most
Row 272: C | Which of the following statements is NOT CORRECT regarding cardiovascular safety pharniacology?
Row 273: D | Thrombocytopenia has been obsesved in a patient taking penicillin. Which of the following 
Row 274: C | The principal toxic effect of the mycotoxin citrinin from Penicllium citrinum is
Row 276: A | The characteristic best attributable to ultrafine (less than 0.1 micron) particles as compared to fi
Row 277: A | There is much interest in the potential lung toxicity of nanoparticles (particles with diameters les
Row 278: D | The mechanism, location of effect and symptoms of the outdoor air pollutant sulfur dioxide (SO2) is 
Row 279: B | The maximum recommended starting dose (MRSD) for a new drug for first time in human clinical studies
Row 280: A | Which of the following statements is NOT CORRECT regarding alkylating agents?
Row 281: C | What ultimate carcinogen is responsible for the carcinogenicity of the polycyclic aromatic hydrocarb
Row 282: A | Which of the following would produce a level of great concern for the development of human cancer,
Row 283: B | In the European Medicine Agency's Guidelines on the Limits of Genotoxic Impurities, "TTC" refel-s to
Row 284: D | Which ofthe following genetic constructs is included in the Tg.AC transgenic mouse that is
Row 286: C | Which of the following is CORRECT regarding spermatid counts?
Row 287: D | Cessation of spermatogenesis in rodents can be elicited by a dietary deficiency of all of the follow
Row 288: D | Which of the following processes is a characteristic of tumor initiation?
Row 290: D | Different cell populations ofthe mammalian testis exhibit different thresholds of sensitivity to dif
Row 291: C | During a reproductive and developmental toxicology study in mice, a statistically significant and do
Row 292: D | Which of the following is CORRECT about teratogenesis and developmental toxicity?
Row 293: C | Inhibin, a regulator of FSH production and a biomarker for male reproductive damage, originates in
Row 294: A | Very water-soluble gases tend to
Row 295: E | When assessing blood hormone levels in reproductive toxicology studies, which procedure is
Row 296: C | Which of the following statements is NOT CORRECT regarding the behavior and deposition of
Row 297: C | Which of the following is the most reliable measure of inhaled volume in understanding the
Row 298: B | Which of the following neurotoxicants does NOT produce axonopathy?
Row 299: E | Which chemical causes neurotoxicity by mechanism other than interfering with aerobic
Row 300: E | The single-cell gel electrophoresis assay (Comet test) is used to detect which of the following
Row 301: D | The most frequently occurring immune-mediated hypersensitivity reactions to chemicals in humans are
Row 302: D | Which of the following is TRUE about acrylamide neurotoxicity?
Row 303: C | Which of the following is common to all four types of hypersensitivity responses?
Row 304: C | The murine local lymph node assay has a number of advantages over the guinea pig maximization test
Row 305: D | The two general forms of cell-mediated immunity are referred to as delayed-type hypersensitivity and
Row 306: B | Which of the following characteristics results in the greatest percutaneous absorption?
Row 307: C | Dimethyl sulfoxide may enhance skin permeability by all the following mechanisms EXCEI'T
Row 308: A | Which ocular structure is most often affected following systemic long-term or high dose use of corti
Row 310: A | Which of the following is the basis for the renal toxicity of metals?
Row 311: A | Exposure of rats to a naphthalene-derived pesticide resulted in a loss of circulating erythrocytes t
Row 312: C | Which of the following xenobiotics is NOT capable of inducing oxidative injury to erythrocytes throu
Row 313: C | Which of the following is CORRECT regarding 2-acetylaminofluorene?
Row 314: C | The lobule designation describes the structural units of the liver, while the acinus zonation is use
Row 315: C | Changes in which of the following tests is NOT an indication of changes in liver function?
Row 316: E | Which of the following is the MOST serious disadvantage of using renal component systems (e.g.,slice
Row 317: B | Which of tlie following compounds does NOT induce renal toxicity through a metabolite?
Row 318: C | Which of the following pairs of nephrotoxicants: mechanisms of renal injury is NOT correctly matched
Row 319: A | Which of the following statements is NOT CORRECT regarding- p53 mutations and tumor formation?
Row 320: C | Carbon tetrachloride is metabolized to the trichloromethyl free radical via cytochrome P450 mixed ox
Row 321: E | Uncertainty factors of 10 are commonly used in risk assessment procedures to calculate accpetable da
Row 322: C | Which of the following statements is NOT CORRECT concerning regulation of dietary supplements accord
Row 323: E | Chemical X causes kidney toxicity when administered to laboratory rats in drinking water at a dose l
Row 324: D | The mechanism of toxicity of the rodenticide fluoroacetate is attributable to which of the following
Row 325: E | Which of the following is NOT an Oxidation reaction.
Row 326: C | The two-compartment pharmacokinetic model is ideally suited for chemicals that
Row 327: B | Which of the following statements is CORRECT regarding a compound that demonstrates one-compartment 
Row 329: C | Which of the following is CORRECT regarding the blood-brain barrier?
Row 330: D | Which of the following is CORRECT regarding the dose response relationship of a vitamin or trace ele
Row 331: D | Why are polycyclic aromatic hydrocarbons with a "bay" region highly mutagenic to mammalian cells?
Row 332: D | Thiouracil and other goitrogenic compounds produce follicular cell adenomas in rats through which of
Row 334: A | Which of the following hypotheses explains paraquat toxicity?
Row 335: E | Which of the following is most likely to precipitate a severe hypertensive crisis in a patient takin
Row 336: D | Regarding low dose extrapolation for cancer risk assessment, which of the following is NOT CORRECT?
Row 337: E | The participation of cytochrome P450 in a reaction can be established by all of the following EXCEPT
Row 338: A | The no-observed-adverse-effect-level (NOAEL) is widely used as a basis for risk assessment. However,
Row 339: B | In the United States, there are established and enforced ocupational exposure limits. In which of th
Row 340: B | A toxicant has an animal NOAEL of 2.5 mg/kg/day and LOAEL of 7.5 mg/kg/day, and an oral reference do
Row 342: C | For which of the following reasons is the water effects ratio used in the development of water quali
Row 343: A | Which of the following best describes prevalence of a disease?
Row 345: C | Which ofthe following is required of manufacturers under Section 8(e) of the US EPA Toxic Substance 
Row 346: D | Which of the following study types is frequently used to compare disease prevalence or health status
Row 347: D | For which of the following conditions or reasons is statistical analysis of toxicological data MOST 
Row 348: D | A Toxicity Identification Evaluation was performed, in which subsamples of the effluent were treated
Row 350: D | Which of the following is TRUE with regard to polybrominated diphenyl ethers (PBDEs) in the environm
Row 352: D | Which of the following is the most nucleophilic site in DNA and thus a common site of DNA alkyl addu
Row 353: A | The duty of an "expert" in a court of law might include
Row 354: B | An individual has taken an overdose of atropine. Which would be the most appropriate treatment?
Row 357: A | Which of the following is CORRECT regarding the maximum tolerated dose used in chronic toxicity stud
Row 358: D | Epigenetics can be described as
Row 359: A | Which of the following is CORRECT regarding genomic and proteomic approaches to identify the genes i
Row 360: B | Which of the following BEST describes the advantage of the use of DNA microarrays in toxicology stud
Row 361: A | Which of the following is NOT TRUE for elemental mercury? 
Row 362: B | Which of the following is MOST likely related to a mechanism for the toxicity and carcinogenicity of
Row 363: C | Which of the following is the most effective agent for treating acute mild inorganic mercury intoxic
Row 364: B | Beryllium is unique among metals because it
Row 365: B | Which of the following sets of elements are essential nutrients?
Row 366: D | Which of the following metals is associated with hepatotoxicity?
Row 367: E | Which of the following BEST describes blind staggers?
Row 368: C | Which of the following is a characteristic of ethylene glycol or methanol intoxication?
Row 369: A | Which of the following mechanisms underlies the resistance of rodents to ocular toxicity following m
Row 370: C | The use of ethanol or 4-methylpyrazole as an antidote for ethylene glycol (EG) poisoning is effectiv
Row 371: D | The mechanism of action of DDT is related to which of the following targets?
Row 372: B | Exposure to which of the following solvents is most associated with elevated blood carboxyhemoglobin
Row 373: D | The WHO-recommended classification of pesticides by hazard is based, in part, on what model
Row 375: E | Which of the following is MOST commonly used in the treatment of anticholinesterase poisoning?
Row 376: B | Which of the following substances associated with a hemorrhagic disorder in cattle, is produced by
Row 377: C | Which of the following is CORRECT regarding the protective role of metallothionein against cadmium t
Row 378: B | Piperonyl butoxide is added to which class of pesticides as a synergist?
Row 379: D | Which of the following is NOT CORRECT regarding carbon monoxide (CO)?
Row 380: B | Fluoroacetate and fluoroacetamide are potent rodenticides that are readily ingested by target specie
Row 381: B | Which of the following widely used industrial chemical is classified by IARC as a probable human
Row 382: B | Which of the following is CORRECT about inhaled particles being deposited mainly in alveoli?
Row 383: C | After cutting a metal guardrail, a worker began to suffer from flu-like symptoms. The symptoms
Row 384: B | Which of the following BEST describes the role of methotrexate acting as an antineoplastic drug?
Row 385: D | Byssinosis, a lung disease characterized by reduced pulmonary function and chronic bronchitis,
Row 386: A | Which of the following toxins produced by dinoflagellate causes paralytic shellfish poisoning, which
Row 387: E | Which of the following plants does NOT produce a cardiovascular toxin?
Row 388: D | Which of the following is the primary mechanism of action of ricin, a component of castor beans?
Row 389: B | The venom from the bite of which of the following can result in large lesions characterized by sever
Row 390: B | Which of the following is related to the oral toxicity of bitter almonds and peach kernels?
Row 391: D | Which of the following is a milk allergen?
Row 392: C | Vitamin A hepatotoxicity is BEST attributed to which of the following factors?
Row 393: C | Organic solvents are a group of compounds that have which of the following characteristics?
Row 394: C | Which of the following glycol ethers and/or its metabolites is both a male and female reproductive t
Row 395: C | Which of the following contributed to the "Elixir Sulfanilamide" tragedy, leading to many deaths and
Row 397: D | Under the US Food and Cosmetic Act, what information on a prescription drug label is NOT derived fro
Row 398: C | In a 4-week toxicology study in rats, the NOAEL was 12 mg/kg/day muman equivalent dose = 2 mg/kg/day
Row 399: B | 39. The greatest food-borne risk facing consumers in most of the world is
Row 400: B | Which of the following is the primary psychoactive analyte of marijuana?
Row 401: B | Following damage to DNA, nucleotide excision repair is BEST characterized by which of the following 
Row 402: B | Which of the following is NOT a germ cell mutagenesis assay?
Row 403: B | The 06-methylguanine DNA methyltransferase
Row 404: E | The nuclear power station accident in Chernobylin 1986 resulted in increased thyroid cancer in
Row 405: D | Which of the following endpoints are measured in the dominant lethal assay?
Row 406: C | Tumors induced by peroxisome proliferator activate receptor alpha (PPAR alpha) agonists in rodent li
Row 407: E | Reduced litter size can result from which of the following?
Row 408: C | Follicular cell adenomas in the rat thyroid are thought to stem from which of the following?
Row 409: A | Which of the following BEST describes the mechanism by which saccharin causes urinary bladder tumors
Row 410: C | Which of the following is NOT CORRECT regarding chronic rodent bioassays for carcinogenicity?
Row 411: B | Which of the following is considered an acute response of the lung to injury?
Row 412: D | The activity of selective estrogen receptor modulators (SERMs) such as raloxifene and tamoxifen is B
Row 413: A | The ability of this substance to concentrate in the alveolar type I and Il cells and Clara cells is 
Row 414: C | Axonopathies, caused by compounds such as n-hexane and carbon disulfide, are the result of a patholo
Row 415: C | The major Phase-I enzyme system in the lung can be found in several cell types. Which one of the fol
Row 417: B | A "class 2A" human carcinogen is defined by the International Agency for Research on Cancer as posse
Row 418: C | Botulinum Toxin A causes flaccid paralysis of skeletal muscle by?
Row 419: C | The delayed neurotoxicity observed after exposure to tri-ortho-cresyl phosphate (TOCP) is BEST attri
Row 420: B | What is the significance of the "aging" reaction with respect to the acute cholinergic neurotoxicity
Row 421: B | Which of the following is the MOST common site of toxicant-induced renal injury?
